fourth_down_attempts_q1,fourth_down_attempts_q2,fourth_down_attempts_q3,fourth_down_attempts_q4,game_id,num_of_,num_of_(4:03) (NO,num_of_(55-A.BROOKS) [53-NBOWMAN],num_of_(6:33) 11-ASMITH,num_of_(6:41) (SHOTGUN),num_of_(94-C.LIUGET) [99-JBOSA],num_of_(:15) (SHOTGUN),num_of_(SHOTGUN) 10-THILL,num_of_BACK TO,num_of_CENTER,num_of_CLOCK STOP,num_of_DEEP LEFT,num_of_DEEP MIDDLE,num_of_DEEP RIGHT,num_of_EXCEPTION,num_of_EXTRA POINT,num_of_FIELD GOAL,num_of_FUMBLES,num_of_INTENDED FOR,num_of_INTERCEPTED BY,num_of_KESSLER THROUGH,num_of_KICK OFF,num_of_LEFT END,num_of_LEFT GUARD,num_of_LEFT TACKLE,num_of_LEFT TO,num_of_MIDDLE TO,num_of_MIDDLE [55-FCLARK],num_of_MIDDLE [56-SEBUKAM],num_of_MIDDLE. PENALTY,num_of_NO HUDDLE,num_of_NO HUDDLE SHOTGUN,num_of_NO PLAY,num_of_NOT LISTED,num_of_PASS,"num_of_PASS RULING,",num_of_PENALTY,num_of_PUNT,num_of_QB KNEEL,num_of_RIGHT (58-JHICKS),num_of_RIGHT END,num_of_RIGHT GUARD,num_of_RIGHT TACKLE,num_of_RIGHT TO,num_of_RIGHT. PENALTY,"num_of_RULING, AND",num_of_RUSH,num_of_SACK,num_of_SCRAMBLE,num_of_SHORT LEFT,num_of_SHORT MIDDLE,num_of_SHORT RIGHT,num_of_SHOTGUN,num_of_TIMEOUT,num_of_TWO-POINT CONVERSION,num_of_UNDER CENTER,num_of_WILDCAT,num_of_YARDS &,num_of_[33-E.GAINES]. LA-33-EGAINES,num_of_[57-N.SPENCE]. PENALTY,num_of_[58-H.LANDRY III],num_of_attempted_two_pt_conversions,num_of_completed_two_pt_conversions,num_of_defensive_penalties_q1,num_of_defensive_penalties_q2,num_of_defensive_penalties_q3,num_of_defensive_penalties_q4,num_of_defensive_penalty_yards_q1,num_of_defensive_penalty_yards_q2,num_of_defensive_penalty_yards_q3,num_of_defensive_penalty_yards_q4,num_of_fumbles_q1,num_of_fumbles_q2,num_of_fumbles_q3,num_of_fumbles_q4,num_of_interceptions_caught_q1,num_of_interceptions_caught_q2,num_of_interceptions_caught_q3,num_of_interceptions_caught_q4,num_of_interceptions_thrown_q1,num_of_interceptions_thrown_q2,num_of_interceptions_thrown_q3,num_of_interceptions_thrown_q4,num_of_offensive_penalties_q1,num_of_offensive_penalties_q2,num_of_offensive_penalties_q3,num_of_offensive_penalties_q4,num_of_offensive_penalty_yards_q1,num_of_offensive_penalty_yards_q2,num_of_offensive_penalty_yards_q3,num_of_offensive_penalty_yards_q4,num_of_passes_attempted_q1,num_of_passes_attempted_q2,num_of_passes_attempted_q3,num_of_passes_attempted_q4,num_of_passes_completed_q1,num_of_passes_completed_q2,num_of_passes_completed_q3,num_of_passes_completed_q4,num_of_sacks_q1,num_of_sacks_q2,num_of_sacks_q3,num_of_sacks_q4,num_of_times_sacked_q1,num_of_times_sacked_q2,num_of_times_sacked_q3,num_of_times_sacked_q4,number_of_first_downs_q1,number_of_first_downs_q2,number_of_first_downs_q3,number_of_first_downs_q4,number_of_successful_fourth_downs_q1,number_of_successful_fourth_downs_q2,number_of_successful_fourth_downs_q3,number_of_successful_fourth_downs_q4,number_of_successful_third_downs_q1,number_of_successful_third_downs_q2,number_of_successful_third_downs_q3,number_of_successful_third_downs_q4,points,third_down_attempts_q1,third_down_attempts_q2,third_down_attempts_q3,third_down_attempts_q4,yards_allowed_q1,yards_allowed_q2,yards_allowed_q3,yards_allowed_q4,yards_moved_q1,yards_moved_q2,yards_moved_q3,yards_moved_q4
0,1,1,4,2021092612,53,,,,,,,,,12,,,,2,,3,3,,,,,7,2,1,4,,,,,,,5,,,38,,,3,,,5,6,5,,,,35,2,,17,5,14,31,,,50,,,,,,0,0,0,0,1,1,0,0,10,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,5,5,15,12,6,5,11,9,5,0,0,1,1,0,1,1,0,7,15,9,7,0,0,0,0,0,4,3,2,30,0,6,4,5,131,183,7,74,73,153,117,110
1,1,1,2,2021092612,30,,,,,,,,,3,,5,,1,,2,2,,,,,4,2,1,2,,,,,,2,15,,,33,,,2,,,3,1,3,,,,15,2,3,11,5,11,23,,,19,,,,,,0,0,0,2,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,10,9,2,12,8,7,1,7,0,1,1,0,0,0,1,1,11,10,2,4,0,0,0,0,3,0,0,0,17,4,1,1,2,73,153,117,110,131,183,7,74
3,2,3,2,2021101008,53,,,,,,,,,5,,6,2,5,,1,3,,,,,6,5,4,7,,,,,,,1,1,,45,,,4,,,6,3,,,,,30,2,5,8,12,12,61,,1,29,,,,,,1,1,0,1,0,0,0,15,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,10,11,1,0,9,12,11,13,4,8,7,4,1,1,0,0,1,0,0,1,7,9,7,7,0,0,0,1,1,3,1,0,22,4,5,4,3,132,113,18,124,92,103,85,94
0,2,2,3,2021101008,42,,,,,,,,,1,,2,1,5,,5,,,,,,5,,4,2,,,,,,,,2,,31,,,5,1,,8,3,2,,,,20,2,2,10,8,5,24,,,44,,,,,,0,0,2,0,0,2,31,0,0,8,1,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,0,1,0,5,7,10,8,6,5,4,2,5,1,0,0,1,1,1,0,0,6,9,2,11,0,0,0,1,2,0,0,2,33,2,2,2,5,92,103,85,94,132,113,18,124
3,2,2,2,2021101706,56,,,,,,,,,4,,4,2,1,,5,1,,,,,7,,3,9,,,,,,4,10,2,,31,,,5,1,,4,6,5,,,,31,2,2,10,5,9,34,,,33,,,,,,0,0,3,1,0,0,20,10,0,0,0,1,0,0,0,2,1,0,0,1,0,1,1,2,1,0,0,15,5,0,7,16,5,3,4,14,5,2,1,1,1,1,2,0,0,0,4,20,6,5,1,1,1,0,0,1,1,0,38,2,3,4,3,101,33,58,105,51,201,88,51
2,3,1,3,2021101706,33,,,,,,,,,6,,3,2,1,,,1,,,,,3,,2,1,,,,,,5,46,2,,52,,,4,,,,4,4,,,,17,4,1,15,8,23,17,,1,12,,,,,,1,1,1,1,0,1,6,5,0,6,1,1,0,0,0,1,0,1,0,2,1,0,1,1,0,0,5,5,0,0,15,10,5,22,8,5,5,14,2,0,0,0,1,1,1,1,6,2,5,12,0,0,1,1,3,0,0,1,11,7,5,1,4,51,201,88,51,101,33,58,105
1,1,2,3,2021102405,26,,,,,,,,,1,,4,2,3,,,2,,,,,2,1,3,,,,,,,,16,2,,54,,,2,1,,1,,1,,,,7,4,6,11,11,23,52,,,8,,,,,,0,0,2,1,0,0,22,5,0,0,1,1,0,2,0,0,1,0,0,1,0,1,1,1,4,0,5,10,35,0,4,6,13,31,3,4,9,19,0,1,0,0,1,0,1,2,4,2,9,11,0,0,0,2,0,0,0,4,3,1,1,2,7,172,124,89,15,33,33,142,180
0,1,0,2,2021102405,53,,,,,,,,,10,1,4,2,2,,3,2,,,,,6,2,3,3,,,,,,6,2,2,,30,,,2,1,,2,6,7,,,,33,1,2,6,5,11,23,,,48,,,,,,0,0,0,0,1,2,0,0,5,10,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,3,5,8,0,10,13,7,0,8,9,6,0,1,0,1,2,0,1,0,0,13,13,6,1,0,0,0,0,4,3,2,0,27,5,6,3,2,33,33,142,180,172,124,89,15
2,3,1,1,2021103101,42,,,,,,,,,4,,4,1,2,,2,2,,,,,6,5,3,1,,,,,,,12,2,,47,,,4,1,,5,,3,,,,21,,3,20,4,16,50,,1,21,,,,,,1,1,2,1,0,1,5,15,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,2,5,15,15,20,3,14,16,14,1,9,11,10,1,0,0,2,0,0,0,0,2,4,11,13,0,0,0,0,1,0,2,3,26,4,3,4,4,90,96,16,94,45,78,139,124
1,3,3,1,2021103101,39,,,,,,,,,12,,2,1,3,,,2,1,,,,3,1,2,1,,,,,,1,5,2,,42,,,5,,,2,2,,,,,20,3,2,17,5,14,57,,1,11,,,,,,1,1,0,0,4,2,0,0,28,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,1,10,5,0,10,12,11,6,13,7,7,3,7,0,0,0,0,1,0,0,2,6,6,0,8,0,0,0,1,2,2,0,2,11,4,6,3,3,45,78,139,124,90,96,16,94
